fecha,id_proveedor,insumo,cantidad,precio_unitario,total
2023-06-01,PATRACAS,"BOMBA DMC EN HAFA CON ENGRANAJES CEMENTADOS 3"" EJE LIBRE MARCA PATRACAS",1,0,0
2023-06-01,AGUAYO,"TETON REPARACION TENSOR 3 4 7 8 1"" ESP",1,779.21,779.21
2023-06-01,AGUAYO,ARANDELA PERNO BAL MONT AV11,1,110.76,110.76
2023-06-01,AGUAYO,BUJE BAL TEFLON LARGO MONT,1,6980.00,6980.00
2023-06-01,AGUAYO,PERNO BAL 170MM CON TUERCA ALT MONT,1,12804.69,12804.69
2023-06-01,AGUAYO,TETON PREPARACION 90X58X3 4 MANOTA DE CHAPA MONT,1,6656.53,6656.53
2023-06-01,DISTRIBUIDORA DIEZ,TUBO LED 48W INTERLEC,1,5720.00,5720.00
2023-06-01,DISTRIBUIDORA DIEZ,FUSIBLE DE VIDRIO 6X30 3 AMP,1,156.00,156.00
2023-06-01,DISTRIBUIDORA DIEZ,BASE KALOP 2X16+N,1,1430.00,1430.00
2023-06-01,DISTRIBUIDORA DIEZ,FICHA KALOP 2X16+N,1,1289.70,1289.70
2023-06-01,DISTRIBUIDORA DIEZ,TERMICA TETRAPOLAR 40AMP STECK,1,3185.00,3185.00
2023-06-01,DACI,ALLEN C CIL 10X120,1,766.88,766.88
2023-06-01,DACI,"MECHA A R EZETA 8,50MM",1,1547.10,1547.10
2023-06-01,DACI,MACHOS PASO MILIMETRICO CONO 2 Y 3 10X1.50MM,1,1276.94,1276.94
2023-06-01,DACI,RUEDA POLIP GIRAT 40MM COD 167,1,454.41,454.41
2023-06-01,DACI,"INSERTO EXT 12,00 X 1,75 X INT 8,00 X 1,25 X L 12,8",1,282.47,282.47
2023-06-01,LUBRICENTRO RUTA,ACEITE CASTROL 4 T,1,2520.66,2520.66
2023-06-02,DACI,"PATROLL LINEA AMARILLA SEGMENTADO 7"" INTERIOR 22,2MM",1,4028.68,4028.68
