fecha,id_proveedor,insumo,cantidad,precio_unitario,total
2025-07-01,CONSTRUMUNDO,BOLSAS CEMENTO 50KG AVELLANEDA,1,8677.69,8677.69
2025-07-01,CONSTRUMUNDO,CLAVOS PUNTA PARIS 2,1,3512.40,3512.40
2025-07-01,CONSTRUMUNDO,CLAVOS PUNTA PARIS 2 1 2,1,3512.40,3512.40
2025-07-01,PLASMA CONTROL,ELECTRODO,1,9000.00,9000.00
2025-07-01,PLASMA CONTROL,TOBERA,1,9100.00,9100.00
2025-07-01,DISTRIBUIDORA DIEZ,CONECTOR CURVO DAISA FT52 1 2,1,12350.00,12350.00
2025-07-01,DISTRIBUIDORA DIEZ,CONECTOR RECTO DAISA 3 4 FT33,1,4810.00,4810.00
2025-07-01,DISTRIBUIDORA DIEZ,TUERCA 1 2,1,837.00,837.00
2025-07-01,DISTRIBUIDORA DIEZ,BOLSA DE PRECINTOS SYBYD ALT5 NEGRO,1,4680.00,4680.00
2025-07-01,DISTRIBUIDORA DIEZ,BOLSA DE PRECINTOS SYBYD ALT3 NEGROS,1,3031.60,3031.60
2025-07-01,DISTRIBUIDORA DIEZ,MTS. CABLE TIPO TALLER 2X1MM,1,516.10,516.10
2025-07-01,DISTRIBUIDORA DIEZ,MTS. CABLE TIPO TALLER 3X1.,1,733.20,733.20
2025-07-01,DISTRIBUIDORA DIEZ,MTS. CABLE TIPO TALLER 7X1.5MM,1,2480.40,2480.40
2025-07-01,CERSOSIMO,BURLETE ESPONJA 8 X 80 MM,1,4389.19,4389.19
2025-07-02,MECAFER,HOJA AL AGUA WA70 120,1,388.73,388.73
2025-07-02,KELCOT,KELCOT M 17 ADHESIVO EPOXI NAUTICO X 500CC,1,29640.00,29640.00
2025-07-02,CONSTRUMUNDO,LAD CERAMICO 12X18X33,1,570.25,570.25
2025-07-02,CONSTRUMUNDO,"MALLA 15X15 H 4,2 DE 2X5M",1,19421.49,19421.49
2025-07-03,NEW GAS,GAR.45.YPF GAS,1,47963.80,47963.80
2025-07-03,AGUAYO,ENCHUFE DE LUCES 7 P. HEMBRA TRAILER DM 57,1,23024.00,23024.00
2025-07-03,CONSTRUMUNDO,BOLSA CEMENTO 50KG AVELLANEDA,1,8677.69,8677.69
2025-07-03,CONSTRUMUNDO,ARENA C BOLSON 1TN,1,35537.19,35537.19
2025-07-03,CONSTRUMUNDO,PIEDRA PARTIDA C BOLSON 1TN,1,54545.45,54545.45
2025-07-03,FERRIN,CUERDA VITON DIAM. 4 MM,1,3112.50,3112.50
2025-07-03,FERRIN,CUERDA VITON DIAM. 5 MM,1,3361.50,3361.50
2025-07-03,FERRIN,CANO 76 MM CON DOBLE TELA,1,42205.00,42205.00
2025-07-03,FERRIN,CANO 90 MM CON DOBLE TELA,1,52165.00,52165.00
2025-07-03,MARBY,CH LC CC 6.35X1500X7000,1,1136.32,1136.32
2025-07-03,MARBY,CH LC CC 4.75X1500X6000,1,1127.50,1127.50
2025-07-03,MARBY,CH LC CC 3.20X1500X6000,1,1136.32,1136.32
2025-07-03,MARBY,CH LC CC 8.00X1500X3000,1,1136.32,1136.32
2025-07-03,MARBY,CH LF CC 1.60X1220X2440,1,1361.09,1361.09
2025-07-03,MARBY,CH LF CC 2.00X1500X2440,1,1361.09,1361.09
2025-07-04,VALVULAS ESTEBAN,TUBO POLIAMIDA (6) 6 X 4 100MTS N,1,44620.80,44620.80
2025-07-04,ROSSI,629 ZZ CMB,1,3000.00,3000.00
2025-07-04,ROSSI,6002 2RS FARMER,1,3000.00,3000.00
2025-07-04,ROSSI,SN 507 SOPORTE,1,25000.00,25000.00
2025-07-04,ROSSI,H 307 MANGUITO,1,7000.00,7000.00
2025-07-04,ROSSI,1207 K UBC,1,14000.00,14000.00
2025-07-04,BURGOM,REGATON RECTANGULAR 30X50,1,354.60,354.60
2025-07-04,BURGOM,CORREA EVER WEAR B 080,1,24880.80,24880.80
2025-07-04,BURGOM,TEFLON 3 4 X 20 MTS.,1,989.94,989.94
2025-07-04,BURGOM,PISCINA N 38MM,1,2952.77,2952.77
2025-07-04,BURGOM,"REGATON REDONDO INTERIOR 1""",1,100.80,100.80
2025-07-04,BURGOM,BURLETE DE GOMA ESPONJA 25X50,1,11417.05,11417.05
2025-07-04,BURGOM,CORREA EVER WEAR B 090,1,27996.00,27996.00
2025-07-04,BURGOM,GUANTE DE JERSEY MOTEADO LIVIANO,1,1415.52,1415.52
2025-07-04,BURGOM,CORREA EVER WEAR B 050,1,15549.60,15549.60
2025-07-04,BURGOM,ADHESIVO DIGOCOL 250 CC.,1,3984.30,3984.30
2025-07-04,ULTRACOLOR,ALBAMIX 4570111 POLIUR BLANCO A X4L,1,54799.44,54799.44
2025-07-04,ULTRACOLOR,ALBAMIX(5188812) 4590013 CONV P FDO 2K X1L,1,28058.06,28058.06
2025-07-04,ULTRACOLOR,ALBAMIX 4570100 POLIUR NEGRO A X4L,1,53634.96,53634.96
2025-07-04,ULTRACOLOR,ALBAMIX 4570100 POLIUR GRIS LLANTA A X4L,1,52613.33,52613.33
2025-07-04,ULTRACOLOR,ALBAMIX 4570100 POLIUR AMARILLO MEDIANO A X4L,1,71487.69,71487.69
2025-07-04,ULTRACOLOR,ALBAMIX(5188812) 4590013 CONV P FD0 2K X1L,1,28058.06,28058.06
2025-07-05,GIANNONI,ESMALTE A. POLIU. ALUX 019 V. CLARO. 0100 X 03,1,67209.38,67209.38
2025-07-05,GIANNONI,CONVERTIDOR 9013 X 1,1,29589.18,29589.18
2025-07-07,BALIO,BAL 9735000140 VAL DESC RAPIDA (1 4 BSPT)A DM165,1,12350.00,12350.00
2025-07-07,BALIO,K 206005 MACHO HEMBRA 3 8X1 4 GAS INT,1,1618.96,1618.96
2025-07-07,GIANNONI,SATINOL AL AGUA BLANCO PP X 04,1,47959.38,47959.38
2025-07-07,GIANNONI,VITROLUX MAGIC 3EN1 BTE BLANCO X 1 LTS,1,9166.17,9166.17
2025-07-07,COINGAS,"BUJE RED. GALV. 3"" X 2 1 2 DEMA",1,12894.94,12894.94
2025-07-07,COINGAS,TEFLON 3 4 X 20 MTS.,1,529.93,529.93
2025-07-07,ARGENGAS GROUP,DIOXIDO DE CARBONO DE 30.00 KG,1,1285.00,1285.00
2025-07-07,ARGENGAS GROUP,OXIGENO A,1,1946.00,1946.00
2025-07-07,ARGENGAS GROUP,FLETE,1,36230.00,36230.00
2025-07-07,ARGENGAS GROUP,ALQUILER DE CILINDROS,1,230.70,230.70
2025-07-07,MAQUITOOLS,LIJADORA ORBITAL 300 WATT 95 X 200 MM MO110 MARTII,1,467976.03,467976.03
2025-07-08,ROSSI,VKUA 4554 A SKF IND.ARG.,1,35000.00,35000.00
2025-07-08,IVECAM,INTERRUPTOR TERCER EJE (503349078)?,1,48760.33,48760.33
2025-07-08,DACI,GRABADOR ELECTRICO DREMEL 220V 290 ENGRAVER,1,58722.80,58722.80
2025-07-08,DACI,PROWORK 242 290 609 680 X 10 ML,1,5424.19,5424.19
2025-07-08,MERCEDES BENZ,FA INTERRUPTOR BASCULANTE,1,67442.40,67442.40
2025-07-08,DACI,TALADRO PERCUTOR MANDRIL 13MM 850W C REVERSA BOSCH GSB.16.R,1,166902.13,166902.13
2025-07-08,GIANNONI,GRACO SOPLETE P AIRLESS FTX,1,492653.56,492653.56
2025-07-09,AGUA PARICE,BIDONES DE AGUA,1,3500.00,3500.00
2025-07-10,SELLADORES Y PEGAMENTOS SAN JOSE,CIANO CM1 X 20G (0087),1,5814.36,5814.36
2025-07-10,SELLADORES Y PEGAMENTOS SAN JOSE,TRABASIL RM1 X 15G (0771),1,6411.86,6411.86
2025-07-10,HIZA,PICOS PARA SOPLETE,1,17600.00,17600.00
2025-07-10,HIZA,PICOS M6 1.2,1,1440.00,1440.00
2025-07-10,HIZA,VIDRIOS TRANSPARENTES,1,440.00,440.00
2025-07-10,HIZA,TOBERAS 250,1,6150.00,6150.00
2025-07-10,BAIRES,VKUA 4554 A,1,25000.00,25000.00
2025-07-10,FERRETERIA SAN LUIS,TALADRO 13MM 1000W 12000RPM V.V.R,1,387024.79,387024.79
2025-07-10,OESTE GASES,ALAMBRE MIG 70S6 1.2MM X 15KG SHAR,1,47000.00,47000.00
2025-07-11,NEW GAS,GAR.10K.YPF GAS,1,13574.66,13574.66
2025-07-14,DACI,TUERCA AUTOFRENANTE 1 2 13 USS,1,172.62,172.62
2025-07-14,DISTRIBUIDORA DIEZ,LAMPARA LED 12W FRIAS ALIC,1,731.90,731.90
2025-07-14,DISTRIBUIDORA DIEZ,CONECTOR RECTOS FT 52,1,12350.00,12350.00
2025-07-14,AVEDIS,OXIGENO INDUSTRIAL TUBO,1,2149.74,2149.74
2025-07-14,AVEDIS,CO2 INDUSTRIAL TUBO,1,1661.75,1661.75
2025-07-14,AVEDIS,ACARREO GASEOSO (21%),1,0.01,0.01
2025-07-14,EXUBARA,VISERA MB ATEGO TECHO BAJO SIN SOPORTES,1,182644.63,182644.63
2025-07-14,BEARINGS,FAROS AUXILIARESMB 1634,1,95041.33,95041.33
2025-07-14,BEARINGS,LAMPARAS H1 24 VOLT.,1,4600.00,4600.00
2025-07-14,RUBINETTI,FARO 650 AMBAR,1,6900.00,6900.00
