fecha,id_proveedor,insumo,cantidad,precio_unitario,total
2025-09-24,REPUESTOS LLAVALLOL,AMORIGUADOR TAPA LAT.,1,85470.00,85470.00
2025-09-24,BAIRES,SN 509,1,40000.00,40000.00
2025-09-24,BAIRES,H 309,1,5500.00,5500.00
2025-09-24,BAIRES,22209 MBKC3W33,1,73490.00,73490.00
2025-09-25,DACI,AUTOPERFORANTE HEXAGONAL MECHA 14 X 2 FLEB,1,142.28,142.28
2025-09-25,DACI,MECHA A R EZETA 4.00 MM,1,1822.20,1822.20
2025-09-25,DACI,RUEDA GRIS GIRATORIA 50 MM,1,1397.09,1397.09
2025-09-25,FABIO,BULON PULIDO UNC GALV. AZUL 5 16X1,1,47.25,47.25
2025-09-25,CONSTRUMUNDO,BOLSAS CAL HIDRAT EXTRA 25KG,1,4545.45,4545.45
2025-09-25,CONSTRUMUNDO,HIERRO ALETADO 6MM,1,5537.19,5537.19
2025-09-25,CONSTRUMUNDO,HIERRO ALETADO 8MM,1,8677.69,8677.69
2025-09-25,HIDRONOVA,MANG 1 2 R2 X 6800MM HG X HG 7 8 JIC,1,132800.00,132800.00
2025-09-25,HIDRONOVA,UNION DOLE EN MANG,1,24000.00,24000.00
2025-09-25,HIDRONOVA,MANOMETRO INOX. C GLICERINA DIAM. 63 SALIDA INFERIOR,1,22027.50,22027.50
2025-09-25,TER,TF FS 6306 A NEUM.MULT. C PL.,1,535884.00,535884.00
2025-09-25,TER,CORONA N 1162 FS 4205A,1,95641.00,95641.00
2025-09-25,TER,PINON N 1163 TF 1160,1,76383.00,76383.00
2025-09-25,TER,CORONA RECTA N 1165 TF 1160,1,89502.00,89502.00
2025-09-25,TER,RODAMIENTO N 32304 CORONA,1,19399.00,19399.00
2025-09-26,NEW GAS,GAR.10K.YPF GAS,1,13547.66,13547.66
2025-09-29,SANCHEZ GASTON RAUL,MATAFUEGO X 10KG ABC,1,144628.09,144628.09
2025-09-29,TODO UNION,PLASTIMET AMARILLA 30MTS 2 1 2,1,501640.00,501640.00
2025-09-29,TODO UNION,PLASTIMET AMARILLA 10MTS 2 1 2,1,173880.00,173880.00
2025-09-29,TODO UNION,JUEGO UNIONES MANIJAS ALUMINIO 2 1 2,1,49800.00,49800.00
2025-09-30,DISTRIBUIDORA DIEZ,CABLE TIPO TALLER 7X1MM,1,2324.40,2324.40
2025-09-30,DISTRIBUIDORA DIEZ,CABLE T.T. 2X1.5MM,1,1037.40,1037.40
2025-09-30,ULTRACOLOR,ALBAMIX 4570100 ESM PU NEGRO A X4LTS,1,55093.15,55093.15
2025-09-30,ULTRACOLOR,ALBAMIX(5188812) 4590013 CONV P FDO 2K X1L,1,28058.05,28058.05
2025-09-01,INTERNET,MGW 50 MB FTTH,1,14049.59,14049.59
2025-09-01,INTERNET,ABONO CORPORATIVO,1,619.83,619.83
2025-09-01,NEW GAS,GAR.10K.YPF GAS,1,13574.66,13574.66
2025-09-01,BULONES COIRO,TORN ALLEN FR A1 29 T RE 14 2 080,1,6655.00,6655.00
2025-09-01,BULONES COIRO,BUL R C CUAD HIER Z AZ 5 16 18H 044,1,169.58,169.58
2025-09-01,BULONES COIRO,ELECTRODO CONARCO 6013A 2.50MM X KG,1,9002.08,9002.08
2025-09-01,DACI,LOCTITE 567 X 50 GRS,1,21.00,21.00
2025-09-02,ARGENGAS GROUP,OXIGENIO A,1,1946.00,1946.00
2025-09-02,ARGENGAS GROUP,DIOXIDO DE CARBONO DE 30.00 KG,1,1285.00,1285.00
2025-09-02,ARGENGAS GROUP,FLETE,1,36230.00,36230.00
2025-09-02,ARGENGAS GROUP,ALQUILER DE CILINDROS,1,230.70,230.70
2025-09-02,ARGEC SA,FTM4000 GUARDABARROS SEMICIRCULAR ENTERIZO,1,52000.00,52000.00
2025-09-02,ARGEC SA,FTM 5002 CAJON DE HERRAMIENTAS 750MM,1,79500.00,79500.00
2025-09-02,ULTRACOLOR,"ALBAMIX 4570100 ESM PU ""VIOLETA S MUESTRA"" A X4LTS",1,53634.96,53634.96
2025-09-02,ULTRACOLOR,ALBAMIX(518812) 4590013 CONV P FDO 2K X1L,1,28058.05,28058.05
2025-09-02,ULTRACOLOR,"ALBAMIX 4570100 ESM PU ""AZUL QUIMIGUAY"" A X4LTS",1,53634.96,53634.96
2025-09-02,ULTRACOLOR,ALBAMIX(5188812) 4590013 CONV P FDO 2K X1L,1,28058.05,28058.05
2025-09-03,CONSTRUMUNDO,PEG IMPER PERFECTO,1,7933.88,7933.88
2025-09-03,TORMECAN,MESA PLATO CORR. 5 16 ALT. 60,1,210000.00,210000.00
2025-09-04,AGUA PARICE,BIDONES DE AGUA,1,3306.00,3306.00
2025-09-04,HN INGENIERIA,REPARACION BANCO HIDRAULICO (3 PALANCAS ),1,160000.00,160000.00
2025-09-04,METALURGICA GABRIELLI,"1 CANO 2"" X 3MM AISI 304 SEGUN MUESTRA CON DOS CURVAS 1 CANO 2"" X 3MM AISI 304 SEGUN MUESTRA CON TRES CURVAS",1,170000.00,170000.00
2025-09-04,FABIO,TUERCA AUTOFRENANTE 5 16 CINC AZUL,1,40.00,40.00
2025-09-04,FABIO,TUERCA AUTOFRENANTE 3 8 CINC AZUL,1,51.43,51.43
2025-09-04,FABIO,TUERCA AUTOFRENANTE 1 2 13H CINC AZUL,1,120.46,120.46
2025-09-04,FABIO,TUERCA AUTOFRENANTE 5 8 CINC AZUL,1,244.69,244.69
2025-09-04,FABIO,TUERCA EXAGONAL LIVIANA UNC GALV. AZUL 3 4,1,179.67,179.67
2025-09-04,MECAFER,"DISCOPARADESBASTESECUREXTRA178X7 , 0X",1,4633.33,4633.33
2025-09-04,MECAFER,FLAPSTANDARD28N115ZA 60,1,2831.87,2831.87
2025-09-04,GIANNONI,ESMALTE A. POLIU. 050 AZUL BANDERA. 0100 X 03,1,69819.16,69819.16
2025-09-04,GIANNONI,CONVERTIDOR 9013 X 1,1,29589.18,29589.18
