nombre,cantidad,unidad_medida,stock_minimo
CETOL B/NAUTURAL X 04,1000,unidad,1
LAT MULT NEUMATICA,1000,unidad,1
TF 3F 9A-1110 NEUM MULT P C/PLRENAULT MIDLUM,1000,unidad,1
EJE PROLONGADOR TF ZF 9S-1110 ZF 9S-1110 TO,1000,unidad,1
ESPARRAGO (12) 1/2X9/16X 70,1000,unidad,1
"1/5 MACHO BREMEN C.2 BSW (10) 9 /16"" X 12 [5 UNID]",1000,unidad,1
SILOC 8500 X 98G,1000,unidad,1
K - 215011 AJUSTE VIROLA/MACHO GAS 1/2X1/4,1000,unidad,1
K - 215206 AJUSTE VIROLA / MACHO GAS 6MM X1/4 GAS,1000,unidad,1
K - 230002 ENTRE ROSCA HEMBRA / HEMBRA 1/4,1000,unidad,1
CMD - AL 105/9 ARANDELA DE ALUMINIO DE 12X17 X 1.25,1000,unidad,1
MG - 1250 ESP. 1/2 X 50 UNF-UNC,1000,unidad,1
MG - GEP 3339 TUERCA 1/2 UNF ALTA,1000,unidad,1
MG - GEP 3333 CONO DE PALIERS 1/2,1000,unidad,1
ACEITE 140,1000,unidad,1
ESCOBILLAS,1000,unidad,1
INTERRUPTOR TERCER EJE (503349078),1000,unidad,1
CORREA EVER WEAR B-099,1000,unidad,1
ABRAZADERA TIPO AMERICANA 90/125 ART 3011,1000,unidad,1
"CHAPA 430 1,50 1250 X 2500 EV C1 A",1000,unidad,1
CH/LC CC 6.35 X 1500 X 7000,1000,unidad,1
CH/LC CC 4.75 X 1500 X 6000,1000,unidad,1
CH/LC CC 9.50 X 1500 X 3000,1000,unidad,1
CH/LF CC 1.60 X 1220 X 2440,1000,unidad,1
CH/LF CC 2.00 X 1500 X 2440,1000,unidad,1
CH/LC ANTID 3.20 X 1245 X 3000,1000,unidad,1
PORTA PICO,1000,unidad,1
CUERDA VITON DIAM. 5MM,1000,unidad,1
CUERDA VITON DIAM. 4MM,1000,unidad,1
SILOC 8500 X 420G (0687),1000,unidad,1
ABRAZADERAS 12MM 90-110 (0015),1000,unidad,1
ABRAZADERAS 12MM 80-100 (0029),1000,unidad,1
ABRAZADERAS 12MM 60-80 (0012),1000,unidad,1
AFILADO Y ACEITES,1000,unidad,1
BUJE RED GALV 2 1/2 2 DEMA,1000,unidad,1
ESMALTE A POLIU NARANJA CLARO 0100 X 03,1000,unidad,1
CONVERTIDOR 9013 X1,1000,unidad,1
"CA EST RECT 30X20X1,6",1000,unidad,1
"CA EST CUAD 20X20X1,6",1000,unidad,1
ANGULOS 1.1 /4X3/16,1000,unidad,1
"TYROLIT DISCO SENSITIVO 350X2, 5X25 , 4",1000,unidad,1
CIUADRADOS 5/8,1000,unidad,1
TIZA BLANCA CAJA * 144 UNIDADES,1000,unidad,1
"MANG OIL ASPIR 1"" X 2.5MT",1000,unidad,1
CONJ.(RO+AZ)FRENO CAMION 12X9 PA6 C/CONE,1000,unidad,1
"BULON PULIDO UNC GALV AZUL 5/16X34""",1000,unidad,1
"BULON PULIDO UNC GALC AZUL 5/16X1""",1000,unidad,1
"BULON PULIDO UNC NATURAL 3/8X1""",1000,unidad,1
"KGR DE ARANDELA PLANA H° NATURAL 3/8""",1000,unidad,1
"TUERCA EXAGONAL LIVIANA UNC NATURAL 3/8""",1000,unidad,1
"BULON GRADO 5 UNC DORADO 1/2X2""",1000,unidad,1
"KGR DE ARANDELA PLANA H° NATURAL 1/2""",1000,unidad,1
"TUERCA EXAGONAL LIVIANA WHT NATURAL 1/2""",1000,unidad,1
"TUERCA EXAGONAL LIVIANA UNC NATURAL 1/2""",1000,unidad,1
"ARANDELA GROWER NATURAL 1/2""",1000,unidad,1
"ARANDELA GROWER NATURAL 5/8""",1000,unidad,1
"BOMBA DE VACIO , MODELO S-90 N| DE SERIE: 9503",1000,unidad,1
KIT DE LIMITADOR DE RECORRRIDO P/ AMORT,1000,unidad,1
"CAJA NEUMATICA STD, + REG. 24VCC",1000,unidad,1
CAJA NEUMATICA STD. + REG. 24VCC,1000,unidad,1
REFLECTOR BAIML 1043 REDONDO CHICO 1 TORNILLO 6 X 5/8 AMBAR,1000,unidad,1
REFLECTOR BAIML 1043 REDONDO CHICO 1 TORNILLO 6 X 5/8 ROJO,1000,unidad,1
ESMALTE POLIU NARANJA AGUILA 0100 X 03,1000,unidad,1
CASQUETE TORIESFERICO ∅ 1900 ESP 6.3 A.C.,1000,unidad,1
CAJA PULSADOR P/ILAS,1000,unidad,1
CABLE AUXILIAR EBS-TRS HA 7M,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 40,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 42,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 44,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 46,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 48,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 40,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 42,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 44,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 46,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 48,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 50,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 52,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 56,1000,unidad,1
BOTIN OMBU 40 MODELO CALZADOOZONO,1000,unidad,1
BOTIN OMBU 41 MODELO CALZADOOZONO,1000,unidad,1
BOTIN OMBU 43 MODELO CALZADOOZONO,1000,unidad,1
FLEXIBLE HIDRAULICO,1000,unidad,1
TUBO POLIAMIDA 16 X 12- NEGRO -,1000,unidad,1
TUBO POLIAMIDA 8/6 -NEGRO-,1000,unidad,1
PORTA SENSOR ABS / EBS,1000,unidad,1
KIT 4S2M T-ABS SR 3 EJES,1000,unidad,1
KIT CONEXIONES 4S2M KN,1000,unidad,1
TANQUE AIRE 75 LTS,1000,unidad,1
KIT CONEX PARA TANQUE 115/75,1000,unidad,1
DURALBA NEGRO X 04,1000,unidad,1
100 MTS CABLE T.T 2X1MM,1000,unidad,1
RESAL HIGHTEX NAR TRABI,1000,unidad,1
RESAL HIGHTEX AMAR TRABI,1000,unidad,1
RESAL HIGHTEX VER TRABI,1000,unidad,1
RESAL HIGHTEX CEL TRABI,1000,unidad,1
RESAL HIGHTEX VIOLETA TRABI,1000,unidad,1
RESAL HIGHTEX ROJO TRABI,1000,unidad,1
RESAL HIGHTEX ROS TRABI,1000,unidad,1
PH LASER 279A *THCF279A* FULLMAR,1000,unidad,1
PH LASER 35 / 36 /79 /85A FULL,1000,unidad,1
BR LASER TN 660/2320 TN 2370 RE,1000,unidad,1
CORRECT PEN 7ML FABER,1000,unidad,1
MARC 741PIZ NEGRO PELIKAN,1000,unidad,1
MARC 741PIZ ROJO PELIKAN,1000,unidad,1
CAJA OF F/N C/ELAST CART 25MM TA,1000,unidad,1
PORTATAB PLASTICO P/50X60 * PIZZ,1000,unidad,1
"C.R.LARGO 90° SCH 40 3""",1000,unidad,1
HORNERO LIGANTE 1LT,1000,unidad,1
BOLSAS CAL MILAGRO,1000,unidad,1
AROS O'RING 2.311,1000,unidad,1
PISCINA N 25MM,1000,unidad,1
MVN-203-03-05-INF (CA),1000,unidad,1
DM - 57 BASE 7 PUNTOS,1000,unidad,1
MATAFUEGOS ABC 10KG MELISAM NUEVOS,1000,unidad,1
VIDRIOS N°11,1000,unidad,1
ADAPTADOR P/LAMPARA GOLIAT,1000,unidad,1
TERMINAL DE COBRE 16MM,1000,unidad,1
PINZA MAZA 300AMP,1000,unidad,1
ALQUILER DE TUBO 01-04 AL 26-04 (21%),1000,unidad,1
MTS CABLE 1X16MM,1000,unidad,1
BOLSA DE PRECINTOS SYBYD ALT2,1000,unidad,1
LAMPARA LED FORZA 55W ALIC,1000,unidad,1
LAMPARA LED 38W ALIC,1000,unidad,1
FICHA MACHO 2X16 AMP+N KALOP,1000,unidad,1
PRENSACABLE 5/8 PERCAN PLAS,1000,unidad,1
